,bowler,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,av.eco,over,player_dismissed,w/o
62,SE Bond,,,7.258064516,,,,,,,,7.258064516,31,9,0.290322581
63,ND Doshi,,,4.25,10.33333333,,,,,,,7.291666667,10,2,0.2
64,AA Chavan,,,,6.2,8.75,7,,,,,7.316666667,42,8,0.19047619
65,SK Warne,7.865384615,7.38,7.78,6.340425532,,,,,,,7.341452537,199,60,0.301507538
66,M Ntini,7.342857143,,,,,,,,,,7.342857143,35,8,0.228571429
67,S Gopal,,,,,,,8.071428571,7.666666667,6.333333333,,7.357142857,20,7,0.35
68,LH Ferguson,,,,,,,,,,7.384615385,7.384615385,13,5,0.384615385
69,SM Harwood,,7.4,,,,,,,,,7.4,10,3,0.3
70,BA Stokes,,,,,,,,,,7.431818182,7.431818182,44,14,0.318181818
71,MA Starc,,,,,,,7.759259259,7.11627907,,,7.437769165,97,39,0.402061856
72,MR Marsh,,,8.9,6.8,,9.2,,,5,,7.475,54,20,0.37037037
73,JW Hastings,,,,,,,9.666666667,,5.285714286,,7.476190476,10,3,0.3
74,C Munro,,,,,,,,,7.5,,7.5,2,0,0
75,RJ Harris,,7.580645161,7.709677419,8.531914894,7.555555556,6.166666667,,,,,7.508891939,139,47,0.338129496
76,BJ Hodge,,8.35,8.2,7,11,3,,,,,7.51,39,18,0.461538462
77,MF Maharoof,7.083333333,6.7,8.75,,,,,,,,7.511111111,70,33,0.471428571
78,R Tewatia,,,,,,,6.555555556,10.33333333,,5.666666667,7.518518519,21,8,0.380952381
79,DE Bollinger,,,6.870967742,7.29787234,8.421052632,,,,,,7.529964238,97,43,0.443298969
80,NM Coulter-Nile,,,,,,7.25,6.75,7.697674419,8,8,7.539534884,95,39,0.410526316
81,A Zampa,,,,,,,,,6.882352941,8.2,7.541176471,37,19,0.513513514
82,Gurkeerat Singh,,,,,,,,7.333333333,7.75,,7.541666667,13,5,0.384615385
83,A Mishra,7,7.142857143,7,6.833333333,8.106382979,6.370967742,9,7.609756098,7.608695652,8.846153846,7.551814679,442,142,0.321266968
84,Z Khan,8.785714286,6.857142857,7.918367347,7.881355932,7.8,7.833333333,6.782608696,6.36,7.577777778,7.87804878,7.567434901,371,119,0.320754717
85,DP Nannes,,7.68,6.714285714,7.75,,8.25,,,,,7.598571429,109,38,0.348623853
86,A Singh,,5.555555556,,7.655172414,9.606060606,,,,,,7.605596192,80,31,0.3875
87,Parvez Rasool,,,,,,5.8,9.222222222,6.2,9.285714286,,7.626984127,33,4,0.121212121
88,Ankit Soni,,,,,,,,,,7.631578947,7.631578947,19,4,0.210526316
89,RA Jadeja,7,6.5,,7.30952381,7.942857143,7.409090909,8.109090909,7.76744186,7.804878049,9.263157895,7.678448953,325,89,0.273846154
90,WD Parnell,,,,7.4,6.333333333,9.4,7.580645161,,,,7.678494624,97,31,0.319587629
91,S Randiv,,,,7.689655172,,,,,,,7.689655172,29,8,0.275862069
92,AR Patel,,,,,,,6.424242424,8.489361702,8.229166667,7.625,7.691942698,209,61,0.291866029
93,BA Bhatt,,,,8.321428571,8.411764706,6.4,,,,,7.711064426,50,13,0.26
94,B Lee,7.375,5.65,10.26666667,7.586956522,7.973684211,7.416666667,,,,,7.711495678,147,30,0.204081633
95,DJ Muthuswami,,,,,,,,7.714285714,,,7.714285714,14,4,0.285714286
96,Shoaib Akhtar,7.714285714,,,,,,,,,,7.714285714,7,5,0.714285714
97,SK Trivedi,8.479166667,7.6,7.388888889,8.527777778,7.442307692,7.083333333,,,,,7.75357906,252,73,0.28968254
98,KMDN Kulasekara,,,,8.666666667,6.857142857,,,,,,7.761904762,17,6,0.352941176
99,R Bhatia,8.409090909,6.954545455,8.5,6.65625,7.407407407,7.590909091,7.552631579,9.4,7.323529412,7.857142857,7.765150671,274,82,0.299270073
100,KP Pietersen,,6.769230769,7.7,,8.833333333,,,,,,7.767521368,29,9,0.310344828
101,GB Hogg,,,,,7.277777778,7.75,,7.047619048,9,,7.768849206,77,25,0.324675325
102,PP Chawla,8.425531915,7.088888889,7.571428571,8.095238095,7.456140351,7.338983051,7.6,7.857142857,7.378378378,8.95,7.776173211,431,133,0.308584687
103,CH Morris,,,,,,8.2,,8,7.272727273,7.774193548,7.811730205,167,62,0.371257485
104,M Morkel,,5.714285714,9.428571429,7.813953488,7.396825397,8.525,7.833333333,7.571428571,8.305555556,,7.823619186,272,88,0.323529412
105,VS Malik,,8.333333333,8.25,7,,5.9,9.666666667,,,,7.83,35,6,0.171428571
106,CRD Fernando,8.2,,7.473684211,,,,,,,,7.836842105,39,19,0.487179487
107,TM Dilshan,3,6.1875,7.777777778,9,11.14285714,10,,,,,7.85135582,46,5,0.108695652
108,KP Appanna,,7.583333333,7.285714286,,8.764705882,,,,,,7.877917834,36,11,0.305555556
109,DP Vijaykumar,7.884615385,,,,,,,,,,7.884615385,26,4,0.153846154
110,Bipul Sharma,,,9.4,6.666666667,10.25,5.25,,7.142857143,8.785714286,7.705882353,7.88587435,72,22,0.305555556
111,WPUJC Vaas,8.111111111,8.875,6.681818182,,,,,,,,7.889309764,48,22,0.458333333
112,Harmeet Singh,,8.608695652,7.375,7.571428571,8.52173913,7.416666667,,,,,7.898706004,89,30,0.337078652
113,Shahid Afridi,7.9,,,,,,,,,,7.9,30,9,0.3
114,Iqbal Abdulla,7.333333333,,6.888888889,6.26,6.681818182,7.473684211,9,7.894736842,8.64,11,7.908051273,154,45,0.292207792
115,S Badree,,,,,,8.75,7.357142857,,,7.64,7.915714286,43,11,0.255813953
116,R Sharma,,,8.095238095,5.56,8.243243243,6.87804878,10.83333333,,,,7.92197269,155,42,0.270967742
117,SK Raina,7.5,6.035714286,6.961538462,7.464285714,7.571428571,11.5,7.5,7.833333333,8.4,8.5,7.926630037,154,30,0.194805195
118,BCJ Cutting,,,,,,,7.75,,6.666666667,9.461538462,7.959401709,29,9,0.310344828
119,P Kumar,8.355555556,8.02,8.711111111,7.673913043,7.063492063,6.912280702,6.75,9.388888889,7.698113208,9.058823529,7.96321781,424,102,0.240566038
120,Sandeep Sharma,,,,,,8.125,8.731707317,7.18,7.48,8.375,7.978341463,205,76,0.370731707
121,B Akhil,7.666666667,7.272727273,6,11,,,,,,,7.984848485,32,7,0.21875
122,M Kartik,8.8,6.088235294,6.692307692,8.095238095,7.416666667,7.435897436,11.375,,,,7.986192169,192,39,0.203125
123,AC Thomas,,,,7.692307692,8.285714286,,,,,,7.989010989,53,16,0.301886792
124,D du Preez,,8,,,,,,,,,8,7,4,0.571428571
125,C de Grandhomme,,,,,,,,,,8,8,17,4,0.235294118
126,SA Yadav,,,,,,,8,,,,8,1,0,0
127,S Dhawan,,,,6,10,,,,,,8,8,4,0.5
128,RS Gavaskar,,,8,,,,,,,,8,1,0,0
129,DAJ Bracewell,,,,,8,,,,,,8,4,3,0.75
130,SM Boland,,,,,,,,,8,,8,7,3,0.428571429
131,ST Jayasuriya,7.761904762,8.684210526,7.555555556,,,,,,,,8.000556948,49,16,0.326530612
132,MM Patel,7.690909091,7,9.076923077,6.854545455,7.957446809,9.2,,,,8.285714286,8.009362674,227,82,0.36123348
133,SR Watson,7.181818182,,8.409090909,6.888888889,6.875,7.595238095,8.047619048,9.413793103,8.596491228,9.111111111,8.013227841,313,100,0.319488818
134,LR Shukla,9.692307692,7.285714286,9,,6,7.333333333,8.8,,,,8.018559219,54,17,0.314814815
135,KV Sharma,,,,,,6.714285714,7.705882353,8.45,10.23529412,7,8.021092437,174,54,0.310344828
136,Shakib Al Hasan,,,,6.555555556,6.766666667,,6.78,8.785714286,7.967741935,11.33333333,8.031501963,155,48,0.309677419
137,YK Pathan,8.034482759,7.085714286,7.470588235,6.256410256,8.363636364,7.4,10,10,5.5,10.25,8.03608319,190,45,0.236842105
138,Yuvraj Singh,9.444444444,7.1,6.739130435,6.655172414,,6.909090909,8.304347826,8.333333333,7.428571429,11.5,8.046010088,144,39,0.270833333
139,PP Ojha,8.081081081,6.648148148,7.440677966,7.594594595,7.4,7.377358491,8.369565217,11.5,,,8.051428187,318,99,0.311320755
140,MM Sharma,,,,,,6.411764706,8.462962963,8.456140351,8.2,8.765957447,8.059365093,259,91,0.351351351
141,A Nehra,7.933333333,6.941176471,7.285714286,,8.5625,8.861111111,9.533333333,7.306451613,7.407407407,9,8.092336395,320,121,0.378125
142,JH Kallis,9.2,7.869565217,8.49122807,7.083333333,7.592592593,7.679245283,8.772727273,,,,8.098384538,291,74,0.254295533
143,BW Hilfenhaus,,,,,7.117647059,,9.107142857,,,,8.112394958,62,23,0.370967742
144,KK Cooper,,,,,7.791666667,8.444444444,8.111111111,,,,8.115740741,96,36,0.375
145,PV Tambe,,,,,,8.272727273,7.448979592,7.852941176,8.9375,,8.12803701,110,28,0.254545455
146,YS Chahal,,,,,,8.75,7.072727273,8.666666667,8.18,7.977272727,8.129333333,201,72,0.358208955
147,L Balaji,8.878787879,8.205128205,8.916666667,8.511111111,5.633333333,7.823529412,8.970588235,,,,8.134163549,256,85,0.33203125
148,P Negi,,,,,6.954545455,7,10.85714286,8.633333333,9.333333333,6.121212121,8.14992785,105,34,0.323809524
149,R Dhawan,,,,,,7.666666667,7.770833333,9.25,8,,8.171875,82,20,0.243902439
150,STR Binny,,,9,11,7.8,6.791666667,7.222222222,7.526315789,7.882352941,8.333333333,8.194486369,90,27,0.3
151,SB Joshi,8.2,,,,,,,,,,8.2,10,1,0.1
152,RP Singh,8.826923077,7.049180328,9.166666667,7.3,8,8.4,,,8.769230769,,8.21600012,299,100,0.334448161
153,DJ Bravo,8.24137931,7.794117647,8.555555556,7.95,8.137931034,8.015873016,,8.185185185,8.964285714,,8.230540933,341,137,0.401759531
154,AM Salvi,,8.117647059,,8.375,,,,,,,8.246323529,25,7,0.28
155,Tejas Baroka,,,,,,,,,,8.25,8.25,4,0,0
156,Anand Rajan,,,,10,9.416666667,5.375,,,,,8.263888889,25,10,0.4
157,RR Powar,7.75,6.571428571,7.086956522,9.333333333,10.66666667,,,,,,8.281677019,71,15,0.211267606
158,DS Kulkarni,8.066666667,8.038461538,10,7.8,8,8.052631579,8.37037037,8.285714286,7.448979592,9.105263158,8.316808719,237,81,0.341772152
159,S Sreesanth,8.673076923,8.52173913,10.05263158,6.625,,7.772727273,,,,,8.329034981,148,43,0.290540541
160,JE Taylor,,,,8.35,,,,,,,8.35,20,6,0.3
161,JD Ryder,,7.117647059,,7.4375,10.57142857,,,,,,8.37552521,40,11,0.275
162,DT Christian,,,,7.760869565,8.888888889,9.333333333,,,,7.575,8.389522947,119,32,0.268907563
163,PM Sarvesh Kumar,8.4,,,,,,,,,,8.4,5,1,0.2
164,MG Johnson,,,,,,7.359375,8.181818182,9.351351351,9.818181818,7.35,8.41214527,187,64,0.342245989
165,RD Chahar,,,,,,,,,,8.428571429,8.428571429,7,2,0.285714286
166,P Sahu,,,,,,,,,8.444444444,,8.444444444,18,3,0.166666667
167,AC Voges,,,8.444444444,,,,,,,,8.444444444,9,1,0.111111111
168,IK Pathan,6.685185185,7.803921569,9.0625,7.673913043,7.95,7.519230769,8.708333333,,7.625,13,8.447564878,345,99,0.286956522
169,M Ashwin,,,,,,,,,8.448275862,,8.448275862,29,7,0.24137931
170,Imran Tahir,,,,,,,8.380952381,8.75,8.8125,7.872340426,8.453948202,120,50,0.416666667
171,Kuldeep Yadav,,,,,,,,,8.5,8.414634146,8.457317073,53,19,0.358490566
172,A Choudhary,,,,,,,,,,8.470588235,8.470588235,17,5,0.294117647
173,P Parameswaran,,,,8.058823529,8.9,,,,,,8.479411765,27,9,0.333333333
174,R Vinay Kumar,7.956521739,8.272727273,8.595744681,7.666666667,8.714285714,8.419354839,9.1875,8.431818182,7.222222222,10.33333333,8.480017465,354,125,0.353107345
175,Harmeet Singh (2),,,,,,8.5,,,,,8.5,4,1,0.25
176,MC Henriques,,8.230769231,8.75,,,8.5,9.6,6.56,8.038461538,9.92,8.514175824,151,42,0.278145695
177,CJ McKay,,,,,8.571428571,,,,,,8.571428571,7,1,0.142857143
178,SW Tait,,,8.5625,9.133333333,6.416666667,10.3,,,,,8.603125,81,26,0.320987654
179,Umar Gul,8.608695652,,,,,,,,,,8.608695652,23,14,0.608695652
180,AS Raut,,9.25,,8,,,,,,,8.625,5,0,0
181,TG Southee,,,,8.789473684,,,7.8,9.107142857,7.744186047,9.7,8.628160518,110,25,0.227272727
182,PJ Cummins,,,,,,,7.25,10.3,,8.361702128,8.637234043,61,19,0.31147541
183,JP Faulkner,,,,5,9.25,6.8125,9.977777778,9.622222222,9.882352941,9.964285714,8.644162665,209,76,0.363636364
184,DJ Harris,,,,,8.666666667,,,,,,8.666666667,3,0,0
185,VR Aaron,,,,6.916666667,8.71875,,8.351351351,10,9.541666667,8.5,8.671405781,143,40,0.27972028
186,AB McDonald,,7.333333333,9.857142857,11.5,6.3,8.5,,,,,8.698095238,31,14,0.451612903
187,JEC Franklin,,,,9,8.4,,,,,,8.7,26,9,0.346153846
188,DJ Hooda,,,,,,,,8.1875,7.461538462,10.5,8.716346154,33,6,0.181818182
189,P Awana,,,,,8.127659574,7.703703704,10.33333333,,,,8.721565537,125,43,0.344
190,TS Mills,,,,,,,,,,8.722222222,8.722222222,18,5,0.277777778
191,SB Jakati,,7.75862069,7.894736842,7.511111111,8.219512195,,10.25,,9.05,10.4,8.726282977,182,50,0.274725275
192,KW Richardson,,,,,,8.583333333,7.740740741,,9.857142857,,8.72707231,53,20,0.377358491
193,MJ McClenaghan,,,,,,,,8.404255319,8.314814815,9.481481481,8.733517205,155,56,0.361290323
194,Ankit Sharma,,,,,6.68,8.5,5.5,8.142857143,7.636363636,16,8.743203463,61,12,0.196721311
195,B Stanlake,,,,,,,,,,8.75,8.75,8,2,0.25
196,RJ Peterson,,,,,8.75,,,,,,8.75,8,3,0.375
197,UT Yadav,,,8,9.555555556,7.524590164,9.033898305,8.466666667,9.214285714,9.461538462,8.816326531,8.759107675,324,107,0.330246914
198,AB Dinda,6.820512821,8.125,6.458333333,8.833333333,7.125,9.510204082,8.741935484,12.6,7.612903226,12.1,8.792722228,255,82,0.321568627
199,S Tyagi,,7.526315789,10.0625,,,,,,,,8.794407895,35,6,0.171428571
200,SC Ganguly,6.6,8.166666667,10.75,,9.7,,,,,,8.804166667,46,12,0.260869565
201,V Pratap Singh,,,,,8.823529412,,,,,,8.823529412,34,12,0.352941176
202,JA Morkel,8.625,8.25,8.541666667,8.666666667,7.84,6.958333333,7.9375,9.416666667,13.2,,8.826203704,288,96,0.333333333
203,AS Rajpoot,,,,,,9.25,,,9.181818182,8.071428571,8.834415584,29,8,0.275862069
204,SB Bangar,8.84,,,,,,,,,,8.84,25,6,0.24
205,M de Lange,,,,,10.8,,8.25,7.5,,,8.85,18,6,0.333333333
206,TL Suman,,7.2,12,8.333333333,,8,,,,,8.883333333,25,7,0.28
207,J Theron,,,8.16,,8.25,,,10.25,,,8.886666667,37,13,0.351351351
208,S Kaul,,,,,,7.818181818,10.46153846,,,8.416666667,8.898795649,71,23,0.323943662
209,T Natarajan,,,,,,,,,,8.923076923,8.923076923,13,2,0.153846154
210,K Upadhyay,,,,,8.25,9.6,,,,,8.925,9,0,0
211,CR Woakes,,,,,,,,,,8.931818182,8.931818182,44,18,0.409090909
212,CH Gayle,,7.684210526,9.5625,7.277777778,13.4,10.25,,8,6.5,,8.953498329,92,19,0.206521739
213,RG Sharma,6.5,7.086956522,8.368421053,13.25,16,3,8.666666667,,,,8.981720606,56,16,0.285714286
214,AB Agarkar,8.115384615,9.451612903,9.409090909,8.740740741,8.933333333,9.3,,,,,8.99169375,131,33,0.251908397
215,TM Head,,,,,,,,,,9,9,9,3,0.333333333
216,K Rabada,,,,,,,,,,9,9,22,8,0.363636364
217,AD Mathews,,10.66666667,8.342105263,,7.5,7.903225806,,8.3,,11.4,9.018666289,133,28,0.210526316
218,I Sharma,8.093023256,7.046511628,9.68,7.363636364,,7.85,9.181818182,11.5,10.06666667,10.55555556,9.037467961,273,59,0.216117216
219,J Syed Mohammad,,,,8.533333333,9.428571429,9.2,,,,,9.053968254,32,10,0.3125
220,Shoaib Ahmed,,9.058823529,,,,,,,,,9.058823529,17,5,0.294117647
221,K Goel,12.5,7.75,7,,,,,,,,9.083333333,11,0,0
222,DNT Zoysa,9.090909091,,,,,,,,,,9.090909091,11,2,0.181818182
223,MN Samuels,,,,,7.482758621,8.5,,,,11.33333333,9.105363985,36,10,0.277777778
224,AA Jhunjhunwala,,,9.857142857,11,6.5,,,,,,9.119047619,15,1,0.066666667
225,DJG Sammy,,,,,,7.347826087,11.35714286,8.666666667,,,9.123878537,40,14,0.35
226,JDP Oram,9.3125,8.6875,,11.5,,7,,,,,9.125,40,13,0.325
227,YA Abdulla,,8.714285714,9.571428571,,,,,,,,9.142857143,35,15,0.428571429
228,Mustafizur Rahman,,,,,,,,,7,11.33333333,9.166666667,64,19,0.296875
229,Mohammed Shami,,,,,,8.777777778,8.659090909,,9.692307692,9.538461538,9.166909479,105,27,0.257142857
230,TA Boult,,,,,,,,8.535714286,9.75,9.25,9.178571429,56,16,0.285714286
231,JJ Bumrah,,,,,,10.57142857,7.675,12.26666667,7.942307692,7.459016393,9.182883865,175,53,0.302857143
232,Swapnil Singh,,,,,,,,,9.666666667,8.714285714,9.19047619,10,1,0.1
233,S Kaushik,,,,,,,,,8.47826087,9.909090909,9.193675889,34,6,0.176470588
234,IC Pandey,,,,,,12.5,7.880952381,7.35483871,,,9.245263697,77,19,0.246753247
235,DB Ravi Teja,9.5,,,9,,,,,,,9.25,3,1,0.333333333
236,AN Ahmed,,,13,8.9,8.5,6.428571429,8,10.75,,,9.263095238,58,15,0.25862069
237,A Ashish Reddy,,,,,8.5,10.14285714,,8.5,10,,9.285714286,45,19,0.422222222
238,DR Smith,7.545454545,9.142857143,9,,7.538461538,11.8,9.9,8.5,8.555555556,11.61538462,9.288634822,90,27,0.3
239,Mohammed Siraj,,,,,,,,,,9.304347826,9.304347826,23,10,0.434782609
240,RR Raje,8.352941176,10.28571429,,,,,,,,,9.319327731,24,7,0.291666667
241,VY Mahesh,8.837209302,12.5,7.666666667,,8.3,,,,,,9.325968992,58,22,0.379310345
242,M Vijay,,,,,,,13,7,8,,9.333333333,6,0,0
243,HH Pandya,,,,,,,,10.47058824,9.117647059,8.423076923,9.337104072,60,10,0.166666667
244,AD Russell,,,,,10.125,9.714285714,10.8,8.097560976,8.135135135,,9.374396365,106,36,0.339622642
245,JR Hopes,10.17857143,,,8.65625,,,,,,,9.417410714,60,14,0.233333333
246,SJ Srivastava,,,9.518518519,9.35,,,,,,,9.434259259,47,15,0.319148936
247,T Shamsi,,,,,,,,,9.4375,,9.4375,16,3,0.1875
248,WA Mota,12,6.888888889,,,,,,,,,9.444444444,12,4,0.333333333
249,MP Stoinis,,,,,,,,,8.826086957,10.09090909,9.458498024,34,11,0.323529412
250,GJ Maxwell,,,,,7.333333333,12,12.09090909,9.7,9,6.631578947,9.459303562,54,12,0.222222222
251,JO Holder,,,,,,8.65,11.66666667,,8.076923077,,9.464529915,36,8,0.222222222
252,SB Styris,7.444444444,8,,13,,,,,,,9.481481481,36,9,0.25
253,V Kohli,7.75,7.666666667,8.5,8.235294118,16.33333333,,,5,13,,9.49789916,43,5,0.11627907
254,Basil Thampi,,,,,,,,,,9.511111111,9.511111111,45,15,0.333333333
255,CJ Anderson,,,,,,,10.44444444,8.25,,9.842105263,9.512183236,41,9,0.219512195
256,DL Chahar,,,,,,,,,8.4,10.71428571,9.557142857,12,1,0.083333333
257,P Suyal,,,,,,7.333333333,11.66666667,9.7,,,9.566666667,16,2,0.125
258,JD Unadkat,,,7.727272727,8.388888889,10.66666667,7.612244898,8.6875,10,16.33333333,7.173913043,9.573727445,165,60,0.363636364
259,S Aravind,,,,8.195652174,16,,,7.333333333,7.4,8.967741935,9.579345489,128,48,0.375
260,CR Brathwaite,,,,,,,,,8,11.16666667,9.583333333,30,10,0.333333333
261,Mohammad Asif,9.59375,,,,,,,,,,9.59375,32,9,0.28125
262,BE Hendricks,,,,,,,10.58333333,8.615384615,,,9.599358974,25,11,0.44
263,Azhar Mahmood,,,,,7.522727273,7.613636364,,13.66666667,,,9.601010101,91,31,0.340659341
264,A Flintoff,,9.636363636,,,,,,,,,9.636363636,11,2,0.181818182
265,HV Patel,,,,,8.585365854,,10.72727273,7.704545455,10.5,10.75,9.653436807,114,37,0.324561404
266,Shoaib Malik,9.666666667,,,,,,,,,,9.666666667,9,2,0.222222222
267,Anureet Singh,,9.4,,,,,,9.173076923,7.333333333,13,9.726602564,65,19,0.292307692
268,DJ Hussey,10.30769231,8.5,8.1,12.66666667,7.444444444,8.454545455,12.66666667,,,,9.734287934,53,10,0.188679245
269,CJ Jordan,,,,,,,,,9.5,10,9.75,29,14,0.482758621
270,AM Nayar,9.857142857,7,,8.636363636,16,7.375,,,,,9.773701299,39,9,0.230769231
271,Karanveer Singh,,,,,,,8.2,11.35714286,,,9.778571429,34,14,0.411764706
272,SR Tendulkar,,9.833333333,,,,,,,,,9.833333333,6,0,0
273,A Symonds,15.14285714,6.75,7.264150943,10.25,,,,,,,9.851752022,88,23,0.261363636
274,S Ladda,,,9.6,10.5,,9,,,10.5,,9.9,23,5,0.217391304
275,R Sathish,,,10.125,6.833333333,,13,,,9.833333333,,9.947916667,24,6,0.25
276,D Salunkhe,10,,,,,,,,,,10,8,1,0.125
277,FY Fazal,,,10,,,,,,,,10,2,1,0.5
278,KAJ Roach,,,10,,,,,,,,10,8,0,0
279,Joginder Sharma,9.64,8.142857143,11.125,11.33333333,,,,,,,10.06029762,43,13,0.302325581
280,S Narwal,,,11.625,,,8.5,,,,,10.0625,18,6,0.333333333
281,Jaskaran Singh,,10.66666667,9.466666667,,,,,,,,10.06666667,18,6,0.333333333
282,Pankaj Singh,10.75,9.285714286,10.375,12,8.142857143,,,,,,10.11071429,50,11,0.22
283,Gagandeep Singh,10.14285714,,,,,,,,,,10.14285714,14,3,0.214285714
284,KA Pollard,,,7.459459459,8.534883721,8,9.419354839,10.19230769,9.307692308,13.66666667,15,10.19754559,202,67,0.331683168
285,PJ Sangwan,9.208333333,7.957446809,8.387096774,,10.5,13,,,12.25,10.16666667,10.2099348,132,41,0.310606061
286,AA Noffke,10.25,,,,,,,,,,10.25,4,1,0.25
