Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality,Team 2010_x,Auction.P 2010,Base.P 2010,Team 2010_y,Base.P 2013,Auction.P 2013,Team 2016,Base.P 2016,Auction.P 2016,Team 2019,Base.P 2019,Auction.P 2019,Playing Role_x,Base.P 2015,Team 2015,Auction.P 2015,Playing Role_y,Base.P 2018,Team 2018,Auction.P 2018,Team 2012,Base.P 2012,Auction.P 2012,Team 2009,Auction.P 2009,Base.P 2009
Robin Uthappa,,,,Pune Warriors India,,,Kolkata Knight Riders,200.0,500.0,Mumbai Indians,200.0,800.0,India,Batsman,,,,,,,,,,,,,,,,,Wicketkeeper,200.0,Kolkata Knight Riders [RTM],640.0,,,,,,
Rohit Sharma,,,,Mumbai Indians,,,,,,Deccan Chargers,150.0,750.0,India,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Irfan Pathan,,,,Delhi Daredevils,,,Sunrisers Hyderabad,150.0,240.0,Kings XI Punjab,200.0,925.0,India,Allrounder,,,,,,,Rising Pune Supergiant,100.0,100.0,,,,,150.0,Chennai Super Kings,150.0,,,,,,,,,,
Yuvraj Singh,,,,Pune Warriors India,,,Royal Challengers Bangalore,200.0,1400.0,,,,,,,,,,,,Sunrisers Hyderabad,200.0,700.0,Mumbai Indians,100.0,100.0,All-rounder,200.0,Delhi Daredevils,1600.0,All-Rounder,200.0,Kings XI Punjab,200.0,,,,,,
Mahela Jayawardene,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,250.0,475.0,Sri Lanka,Batsman,,,,,,,,,,,,,,,,,,,,,Delhi Daredevils,"$300,000","$1,400,000",,,
David Hussey,,,,Kings XI Punjab,,,,,,Kolkata Knight Riders,100.0,625.0,Australia,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Dale Steyn,,,,Deccan Chargers,,,,,,Royal Challengers Bangalore,150.0,325.0,South Africa,Bowler,,,,,,,Gujarat Lions,150.0,230.0,,,,,,,,,,,,,,,,,
Muttiah Muralitharan,,,,Kochi Tuskers Kerala,,,Royal Challengers Bangalore,100.0,100.0,Chennai Super Kings,250.0,600.0,Sri Lanka,Bowler,,,,,,,,,,,,,,,,,,,,,Royal Challengers Bangalore,"$200,000","$220,000",,,
Cameron White,,,,Deccan Chargers,,,,,,Royal Challengers Bangalore,100.0,500.0,Australia,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Jacques Kallis,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,200.0,550.0,Royal Challengers Bangalore,225.0,900.0,South Africa,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
AB de Villiers,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,200.0,300.0,South Africa,Wicketkeeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Ross Taylor,,,,Rajasthan Royals,,,Delhi Daredevils,200.0,200.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravindra Jadeja,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Chennai Super Kings,"$100,000","$2,000,000",,,
Johan Botha,,,,Rajasthan Royals,,,,,,,,,,,,,,Delhi Daredevils,"$300,000","$450,000",,,,,,,,,,,,,,,,,,,,
Dinesh Karthik,,,,Kings XI Punjab,,,Delhi Daredevils,200.0,1250.0,Delhi Daredevils,200.0,525.0,India,Wicketkeeper,,,,,,,Gujarat Lions,200.0,230.0,,,,,200.0,Royal Challengers Bangalore,1050.0,Wicketkeeper,200.0,Kolkata Knight Riders,740.0,,,,,,
Piyush Chawla,,,,Kings XI Punjab,,,Kolkata Knight Riders,50.0,425.0,Kings XI Punjab,125.0,400.0,India,Bowler,,,,,,,,,,,,,,,,,Bowler,100.0,Kolkata Knight Riders [RTM],420.0,,,,,,
Sreesanth,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,200.0,625.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,Rajasthan Royals,"$400,000","$400,000",,,
Adam Gilchrist,,,,Kings XI Punjab,,,,,,Deccan Chargers,300.0,700.0,Australia,Wicket keeper,,,,,,,,,,,,,,,,,,,,,,,,,,
Zaheer Khan,,,,Royal Challengers Bangalore,,,Mumbai Indians,100.0,260.0,Royal Challengers Bangalore,200.0,450.0,India,Bowler,,,,,,,,,,,,,,100.0,Delhi Daredevils,400.0,,,,,,,,,,
Dan Christian,,,,Deccan Chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ravichandran Ashwin,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,200.0,Kings XI Punjab,760.0,,,,,,
Ashish Nehra,,,,Pune Warriors India,,,Chennai Super Kings,200.0,200.0,,,,,,,,,,,,Sunrisers Hyderabad,200.0,550.0,,,,,,,,,,,,,,,,,
Andrew Symonds,,,,Mumbai Indians,,,,,,Deccan Chargers,250.0,1350.0,Australia,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Subramaniam Badrinath,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,30.0,Royal Challengers Bangalore,30.0,,,,,,,,,,
Praveen Kumar,,,,Kings XI Punjab,,,,,,,,,,,,,,,,,Gujarat Lions,50.0,350.0,,,,,50.0,Sunrisers Hyderabad,220.0,,,,,,,,,,
Abhishek Nayar,,,,Kings XI Punjab,,,Rajasthan Royals,30.0,100.0,,,,,,,,,Pune Warriors India,"$100,000","$675,000",,,,,,,,,,,,,,,,,,,,
David Warner,,,,Delhi Daredevils,,,Sunrisers Hyderabad,150.0,550.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Umesh Yadav,,,,Delhi Daredevils,,,Kolkata Knight Riders,100.0,260.0,,,,,,,,,,,,,,,,,,,,,,Bowler,100.0,Royal Challengers Bangalore,420.0,,,,,,
Venugopal Rao,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Kumar Sangakkara,,,,Deccan Chargers,,,,,,Kings XI Punjab,250.0,700.0,Sri Lanka,Wicketkeeper-batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Cheteshwar Pujara,,,,Royal Challengers Bangalore,,,Kings XI Punjab,150.0,190.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Doug Bollinger,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dirk Nannes,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,Chennai Super Kings,"$200,000","$600,000",,,,,,,,,,,,,,,,,,,,
Tillakaratne Dilshan,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,152.0,250.0,Sri Lanka,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Kevin Pietersen,,,,Deccan Chargers,,,Delhi Daredevils,200.0,900.0,,,,,,,,,,,,Rising Pune Supergiant,200.0,300.0,,,,,200.0,Sunrisers Hyderabad,200.0,,,,,,,,Royal Challengers Bangalore,"$1,550,000","$1,350,000"
Daniel Vettori,,,,Royal Challengers Bangalore,,,,,,Delhi Daredevils,250.0,625.0,New Zealand,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Pragyan Ojha,,,,Deccan Chargers,,,Mumbai Indians [RTM],200.0,325.0,,,,,,,,,,,,,,,,,,,50.0,Mumbai Indians,50.0,,,,,,,,,,
Rahul Dravid,,,,Rajasthan Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Graeme Smith,,,,Pune Warriors India,,,,,,Rajasthan Royals,250.0,250.0,South Africa,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
RP Singh,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lakshmipathy Balaji,,,,Kolkata Knight Riders,,,Kings XI Punjab,50.0,180.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Morné Morkel,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brendon McCullum,,,,Kochi Tuskers Kerala,,,Chennai Super Kings,200.0,325.0,Kolkata Knight Riders,175.0,700.0,New Zealand,Wicketkeeper,,,,,,,,,,,,,,,,,Batsman,200.0,Royal Challengers Bangalore,360.0,Kolkata Knight Riders,"$400,000","$900,000",,,
Vinay Kumar,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,Bowler,100.0,Kolkata Knight Riders,100.0,Royal Challengers Bangalore,"$100,000","$1,000,000",,,
Ishant Sharma,,,,Deccan Chargers,,,Sunrisers Hyderabad,150.0,425.0,Kolkata Knight Riders,150.0,950.0,India,Bowler,,,,,,,Rising Pune Supergiant,200.0,380.0,Delhi Capitals,75.0,110.0,Bowler,,,,,,,,,,,,,
Brad Hodge,,,,Kochi Tuskers Kerala,,,Rajasthan Royals,200.0,240.0,,,,,,,,,,,,,,,,,,,,,,,,,,Rajasthan Royals,"$200,000","$475,000",,,
Shakib Al Hasan,,,,Kolkata Knight Riders,,,Kolkata Knight Riders,100.0,280.0,,,,,,,,,,,,,,,,,,,,,,All-Rounder,100.0,Sunrisers Hyderabad,200.0,,,,,,
Michael Hussey,,,,Chennai Super Kings,,,Mumbai Indians,200.0,500.0,Chennai Super Kings,250.0,250.0,Australia,Batsman,,,,,,,,,,,,,,150.0,Chennai Super Kings,150.0,,,,,,,,,,
Brett Lee,,,,Kolkata Knight Riders,,,,,,Kings XI Punjab,300.0,900.0,Australia,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Shaun Marsh,,,,Kings XI Punjab,,,Kings XI Punjab,200.0,220.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stuart Broad,,,,Kings XI Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
VVS Laxman,,,,Kochi Tuskers Kerala,,,,,,Deccan Chargers,150.0,375.0,India,Batsman,,,,,,,,,,,,,,,,,,,,,,,,,,
Murali Kartik,,,,Pune Warriors India,,,Kings XI Punjab[REC],100.0,100.0,Kolkata Knight Riders,200.0,425.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,,,,,,
Ashok Dinda,,,,Delhi Daredevils,,,Royal Challengers Bangalore,100.0,150.0,,,,,,,,,,,,Rising Pune Supergiant,50.0,50.0,,,,,,,,,,,,,,,,,
James Hopes,,,,Delhi Daredevils,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryan Harris,,,,Kings XI Punjab,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Brad Haddin,,,,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Callum Ferguson,,,,Pune Warriors India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Aaron Finch,,,,Delhi Daredevils,,,Sunrisers Hyderabad,100.0,400.0,,,,,,,,,,,,Gujarat Lions,100.0,100.0,,,,,100.0,Mumbai Indians,320.0,Batsman,150.0,Kings XI Punjab,620.0,,,,,,
Amit Mishra,,,,Deccan Chargers,,,Sunrisers Hyderabad,200.0,475.0,,,,,,,,,,,,Gujarat Lions,10.0,10.0,,,,,10.0,Delhi Daredevils,350.0,Bowler,150.0,Delhi Daredevils,400.0,,,,,,
Amit Mishra,,,,Deccan Chargers,,,Rajasthan Royals[REC],10.0,10.0,,,,,,,,,,,,Gujarat Lions,10.0,10.0,,,,,10.0,Delhi Daredevils,350.0,Bowler,150.0,Delhi Daredevils,400.0,,,,,,
Shikhar Dhawan,,,,Deccan Chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,Batsman,200.0,Sunrisers Hyderabad[RTM],520.0,,,,,,
JP Duminy,,,,Deccan Chargers,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Mumbai Indians,"$950,000","$300,000"
Shaun Tait,,,,Rajasthan Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Rajasthan Royals,"$375,000","$250,000"
Parthiv Patel,,,,Kochi Tuskers Kerala,,,Royal Challengers Bangalore,100.0,275.0,Chennai Super Kings,150.0,325.0,India,Wicketkeeper,,,,,,,,,,,,,,,,,Wicketkeeper,100.0,Royal Challengers Bangalore,170.0,Deccan Chargers,"$200,000","$650,000",,,
Mitchell Marsh,,,,Pune Warriors India,,,,,,,,,,,,,,,,,Rising Pune Supergiant,200.0,480.0,,,,,,,,,,,,,,,,,
Naman Ojha,,,,Delhi Daredevils,,,Sunrisers Hyderabad,50.0,50.0,,,,,,,,,,,,,,,,,,,,,,Wicketkeeper,75.0,Delhi Daredevils,140.0,,,,,,
Tim Paine,,,,Pune Warriors India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Abhimanyu Mithun,,,,Royal Challengers Bangalore,,,,,,,,,,,,,,,,,Sunrisers Hyderabad,30.0,30.0,,,,,30.0,Mumbai Indians,30.0,,,,,,,,,,
Paul Collingwood,,,,Rajasthan Royals,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi Daredevils,"$275,000","$250,000"
Sudeep Tyagi,,,,Chennai Super Kings,,,,,,,,,,,,,,Sunrisers Hyderabad,"$100,000","$100,000",,,,,,,,,,,,,,,,,,,,
Ajit Agarkar,,,,Delhi Daredevils,,,,,,Kolkata Knight Riders,200.0,350.0,India,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Steve Smith,,,,Kochi Tuskers Kerala,,,Rajasthan Royals,200.0,400.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Dwayne Bravo,,,,Chennai Super Kings,,,,,,,,,,,,,,,,,,,,,,,,,,,All-Rounder,200.0,Chennai Super Kings[RTM],640.0,,,,,,
Owais Shah,,,,Kochi Tuskers Kerala,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Delhi Daredevils,"$275,000","$150,000"
Scott Styris,,,,Chennai Super Kings,,,,,,Deccan Chargers,175.0,175.0,New Zealand,Allrounder,,,,,,,,,,,,,,,,,,,,,,,,,,
Davy Jacobs,,,,Mumbai Indians,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramesh Powar,,,,Kochi Tuskers Kerala,,,,,,Kings XI Punjab,150.0,170.0,India,Bowler,,,,,,,,,,,,,,,,,,,,,Kings XI Punjab,"$100,000","$160,000",,,
Wayne Parnell,,,,Pune Warriors India,,,Delhi Daredevils[REC],100.0,100.0,,,,,,Delhi Daredevils,610000.0,200000.0,,,,,,,,,,,,,,,,,,,,,,,
Ryan ten Doeschate,,,,Kolkata Knight Riders,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jesse Ryder,,,,Pune Warriors India,,,,,,,,,,,,,,Delhi Daredevils,"$100,000","$260,000",,,,,,,,,,,,,,,,,,Royal Challengers Bangalore,"$160,000","$100,000"
