Player,Team 2017,Base.P 2017,Auction.P 2017,Team 2011,Base.P 2011,Auction.P 2011,Team 2014,Base.P 2014,Auction.P 2014,Team 2008,Base.P 2008,Auction.P 2008,Nationality,Speciality
Loots Bosman,,,,,,,,,,Mumbai Indians,150.0,175.0,South Africa,Batsman
Suresh Raina,,,,,,,,,,Chennai Super Kings,125.0,650.0,India,Batsman
Chamara Silva,,,,,,,,,,Deccan Chargers,100.0,100.0,Sri Lanka,Batsman
Nathan Bracken,,,,,,,,,,Royal Challengers Bangalore,225.0,325.0,Australia,Bowler
R P Singh,,,,,,,,,,Deccan Chargers,200.0,875.0,India,Bowler
Makhaya Ntini,,,,,,,,,,Chennai Super Kings,200.0,200.0,South Africa,Bowler
Lasith Malinga,,,,,,,,,,Mumbai Indians,200.0,350.0,Sri Lanka,Bowler
Chaminda Vaas,,,,,,,,,,Deccan Chargers,200.0,200.0,Sri Lanka,Bowler
Umar Gul,,,,,,,,,,Kolkata Knight Riders,150.0,150.0,Pakistan,Bowler
Dilhara Fernando,,,,,,,,,,Mumbai Indians,150.0,150.0,Sri Lanka,Bowler
Nuwan Zoysa,,,,,,,,,,Deccan Chargers,100.0,110.0,Sri Lanka,Bowler
